;PROB_0;PROB_1;PRED;LIM1;LIM1PLUS;LIM0
1;-0.7004950046539307;0.29950496554374695;0.0;0.6;0.7;-0.65
2;-0.6858906149864197;0.3141093850135803;0.0;0.6;0.7;-0.65
3;-0.7116495370864868;0.2883504331111908;0.0;0.6;0.7;-0.65
4;-0.6844345927238464;0.31556540727615356;0.0;0.6;0.7;-0.65
5;-0.6461390256881714;0.353861004114151;0.5;0.6;0.7;-0.65
6;-0.6466737985610962;0.3533261716365814;0.5;0.6;0.7;-0.65
7;-0.6058658361434937;0.39413416385650635;0.5;0.6;0.7;-0.65
8;-0.6437682509422302;0.3562317490577698;0.5;0.6;0.7;-0.65
9;-0.7151508927345276;0.2848491072654724;0.0;0.6;0.7;-0.65
10;-0.6572732329368591;0.34272676706314087;0.0;0.6;0.7;-0.65
11;-0.5782434940338135;0.42175647616386414;0.5;0.6;0.7;-0.65
12;-0.5862357020378113;0.4137642979621887;0.5;0.6;0.7;-0.65
13;-0.5965946912765503;0.4034052789211273;0.5;0.6;0.7;-0.65
14;-0.6339447498321533;0.36605527997016907;0.5;0.6;0.7;-0.65
15;-0.6826008558273315;0.31739917397499084;0.0;0.6;0.7;-0.65
16;-0.617091178894043;0.38290882110595703;0.5;0.6;0.7;-0.65
17;-0.6051970720291138;0.3948029577732086;0.5;0.6;0.7;-0.65
18;-0.5995439291000366;0.4004560708999634;0.5;0.6;0.7;-0.65
19;-0.6011602878570557;0.3988397419452667;0.5;0.6;0.7;-0.65
20;-0.602364182472229;0.3976358473300934;0.5;0.6;0.7;-0.65
21;-0.6581305265426636;0.3418695032596588;0.0;0.6;0.7;-0.65
22;-0.6232049465179443;0.3767950236797333;0.5;0.6;0.7;-0.65
23;-0.7042092084884644;0.29579076170921326;0.0;0.6;0.7;-0.65
24;-0.6201785802841187;0.37982141971588135;0.5;0.6;0.7;-0.65
